prompt,completion
"O livro Capitães da Areia de Jorge Amado conta a história de um grupo formado por crianças abandonadas , conhecido por Capitães de a Areia , que assaltam pequenas coisas ou até roubam a a mão armada , moram em um trapiche a a beira-mar , não utilizam drogas pesadas e o chefe de o grupo é Pedro Bala , em geral , vivem varias aventuras em a cidade de Salvador .",
"Alguns personagem se destacam com certas características , físicas ou psicológicas , como Querido-de-Deus com seu dom em a capoeira , Pirulito com sua vocação para a igreja , João Grande com uma bondade incomparável , e outros .",
"A injustiça social é muito destacada em a história , pois eles eram tratados de forma preconceituosa por muitos , sendo que queriam apenas atenção e carinho muitas vezes .",
"O enredo de a historia é cheio de dramas , conflitos , prendendo o leitor até o fim .",enredo
"Como a injustiça é prevalecida em o livro , muitas historias não possuem um final feliz .",
"Allan Ribeiro Polachini , 1° azul , n°1",
Surpreendeu .,
"Lí esse livro meio que por obrigação , mas surpreendeu .",livro
"Tem horas que você odeia os personagens , tem horas que você se sente mal por eles .",personagens
Leitura fácil .,Leitura
Razão de morar em Salvador,
"Ler livros é muito bom , a sessão de viajar e visitar novos lugares a cada nova capa , porém é mais legal ainda quando se lê sobre lugares que você conhece , lugares esses que se convive diariamente , e principalmente quando você sente a mágia citada .",
Obs .,
: Este primeiro paragrafo foi só para constar a sensação !,
"Capitães da Areia é uma opção de leitura agradável e dramática , se mantém um tom adulto , mas com toque moleque .","Capitães
da
Areia"
"Seus personagens principais são crianças abandonadas e muito maltratadas por a sociedade , já que desde cedo conhecem o mundo de o sexo , e de os furtos , a complexidade de suas perspectivas perante a vida e o mundo , é que em o guiam por as ruas de a Barroquinha e por as subidas em a Ladeira de a Montanha .",
Mágico,
"Até essa data , meu livro favorecido , por a linguagem encantadora , poética .","livro
linguagem"
"Por os personagens vivos , reais , quase que posso vê - los andando por aí .",personagens
"Por o cenário mágico , por a história que prende e comove , por me identificar com cada personagem , por reconhecer a minha pátria estampada em letras .","cenário
história
personagem"
"Um livro com alma brasileira , que envolve , enriquece , um livro que transforma que o lê .",livro
Todo muleque de o Brasil é um capitão de Areia .,
RECOMENDO,
O melhor,
"Olha se você não curti muito literatura , esse é um bom livro pois a historia não é tão chata como de costume e tem um enredo que deixa preso a historia","livro
historia
enredo"
Histórias de um velho trapiche .,
Capitães de areia é um romance carregado de o lirismo de Jorge Amado .,"Capitães
de
areia"
Meu pai me presenteou pouco antes de falecer e guardo um especial carinho por este livro .,livro
"Contando a história de um grupo de meninos de rua de a Bahia o autor mergulha em um mundo de abandono , revolta social e ainda conta o nascimento de o amor de Pedro Bala e Dora carregado de o desejo carnal e muita ternura .","o
nascimento
de
o
amor
de
Pedro
Bala
e
Dora"
"Os protagonistas não são heróis e sim ladrões , mentirosos , inseguros , com conflitos religiosos , órfãos de pai , de mãe , de carinho e perspectivas .",
"Já adaptado , mais de uma vez , para a televisão o romance ganha agora uma versão para o cinema por as mãos de a neta de o autor .",
Oxalá sirva para divulgar este que é um de os grandes trabalhos de Jorge Amado .,
A história em si é ótima .,história
"Embora fiquei cansativo de lê - lo em algumas partes , em geral o livro é muito bom de ser lido .","algumas
partes
livro"
"Quando minha professora falou que iriamos ler esse livro , quis me tacar de a janela de o segundo andar .",
"Comecei a leitura com um grande preconceito de a história , mas com o desenrrolar de o livros as palavras e a história de Jorge Amda conseguiu me cativar de um jeito que eu não esperava .",história
"Mostrando o lado pobre de o Brasil , as dificuldades que os meninos de rua sofrem dia a dia e ainda conseguindo colocar uma pitada de romance , Jorge Amado me surpreendeu com sua desenvoltura de escretia que conseguiu me prender .",
Terminei o livro com lágrimas em os olhos e uma vontade imensa de ir correndo para o norte de o país ajudar essas crianças .,
Um de os primeiros !,
Quando criança sempre via este livro em minha estante e era atraída por as cores vibrantes de sua capa já gasta por o tempo .,
"Ainda sem saber ler , revirava as folhas em busca de alguma figura .",
"Com o passar de o tempo e a intimidade com as letras , acabei começando a leitura de este livro ainda muito criança e mesmo sem entender muita coisa me divertia fazendo uso de esta obra que sabe Deus a quem pertencia .",
"Após vários anos decidi ler pra valer , com consciência de o conteúdo e claro , adorei .",
"Além de ser um clássico de a literatura , acabou tornando - se um clássico de minha história .",
"Nossa , meu pai falava muito de este livro como um de os melhores q ja havia lido .",
Amei .,
Simplesmente amei .,
Eu li capitães de a areia quando eu estava em o 1° ano de o colegial .. e foi o 1° que eu Li do Querido Jorge Amado !,
"O Livro tocou profundamentemeu coração , nunca vou esquecer de Pedro Bala o lider de os meninos , o Querido João Grande tinha um coração de o tamanho de ele , e a Meiga Dora a "" mãe "" de todos .. eu sou Apaixonada por esse livro , E foi esse livro q me motivou a continuar a lendo ... E esse Livro sempre estara em a minha mente e coração !","Livro
Pedro
Bala
livro
Livro"
Recomendadissiiimoooo para leitura !,
5 estrelinhas merecidas !,
"Eu amei esse livro , não conseguia parar de ler *__* Vc se envolve de uma maneira com os pias de o Capitães de a Areia , cada um tem sua história em especial que cativa mesmo o leitor .","livro
os
pias
de
o
Capitães
de
a
Areia"
"O Pedro Bala que é o líder de os Capitães tem um jeito bem nobre de cuidar de os seus companheiros , sempre exigindo respeito e lealdade para estabelecer a harmonia de o grupo .",
"Porém , fiquei chocada com o Pedro Bala , quando ele molestou aquela neguinha em o areal , mesmo sabendo que ela era "" donzela "" , acabou que o estupro não tirou a sua virgindade , em o entanto , não deixa de ser um estupro .",
"[ ñ vou contar detalhadamente , quem quer saber melhor leia =P ] Jorge Amado mandou muito bem retratando a vida de a gurizada que vive a margem de a sociedade , não expondo que as crianças são uns anjos , mas tb elas não são más .",
Conseguiu manter o meio termo .,
"Ora , ninguém é perfeito neh ... Agora , uns de os pontos discutidos em o livro é : A sociedade tem culpa por a vida levada por tantos "" Capitães de a Areia "" ?",
"Em a minha opinião , tem culpa em partes e , não totalmente .",
"Porque acredito que cada um faz a sua vida , alguns conseguem por si mesmos e já outros - a maioria - precisa de uma ajuda .",
"Bom , o meio em que aquelas crianças foram crescendo de fato pode propiciar para o lado negro de a força , sendo :ladrão , "" malandro "" , gigolô , traficante de drogas , etc. Contudo , em o livro vemos que apesar de o meio , as crianças tem suas personalidades , por exemplo , o "" professor "" como era conhecido uns de os pias de o grupo o qual gostava de ler e de desenhar , nunca fora educada para tal .",
"Mas , ele experimentou o estudo e felizmente acabou por namorar essas duas artes :literatura e desenho .",
"Por consequência , tornou - se um pintor de prestígio :D Já outros não tiveram a felicidade de trilhar o mesmo caminho , terminar-se-iam como fantoches de as mazelas de a vida comteporânea que traz somente a felicidade momentânea e vazia .",
"Logo , o nicho em que as crianças crescem marca de certa forma o seu modo de ver o mundo , mas não é fator que determinará o que elas serão .",
"Porém se a sociedade não der atenção para essas crianças ( aí que entra a ajuda ) , acabaram com os seus sonhos , através de isso , elas não poderão ter infância e sem essa fase não terão base para tornar - se adultos conscientes .",
"Perdendo - se , mais uma vez , para os vícios de a vida , e fechando - se em seu próprio mundo idealista .",
Ótimo,
Adorei o livro .,livro
É o tipo de livro que te prende de o início a o fim .,livro
Engoli o livro rs ... Se pudesse madrugava lendo .,livro
Esse livro estou trocando .,
Sempre Jorge Amado !,
"Não tem como esperar muita coisa de este escritor , a leitura é fácil e durante todo o livro o Jorge Amado descreve a Bahia como o melhor lugar em o mundo !",
O romance entre dois adolescentes faz o rumo de a história ferver .... hehehe ... O escritor consegue fazer com que as morenas brasileiras sejam totalmente charmosas e sexy !,
"Muito bom o livro ... eu li já tem algum tempo , foi o primeiro livro de o Jorge que eu li e me apaixonei por o jeito bem natural de ele de escrever ... depois de isso li vários outros livros todos seguindo a mesma linha !",livro
Recomendo !,
Bonzinho ...,
A série ' Crepúsculo ' não chega a ser uma de as minhas favoritas ... Mas fiz uma resenha sobre a série completa para os que estiverem interessados : http://ivasbookshelf.blogspot.com.br/2012/03/saga-crepusculo.html,
pessimo,
"odiei o inicio diferente de o filme a bella não se enxerga , ela bota defeito em os outros quando ela é q é a defeituosa Nota :parei em a pag .","inicio
bella"
116,
Complicado,
Stephenie Meyer é muito inteligente e escreve realmente bem .,
"Sua narrativa é muito interessante , seu linguajar é ótimo e a estrutura de o livro é muito bem resolvida .","narrativa
linguajar
estrutura
de
o
livro"
"Os personagens , contudo , são criados para agradar a todos os tipos de pessoa , mas atingem em potencial o público feminino .",
O mito vampírico foi modificado e moldado a a novas circunstâncias de forma brutal e pode ser frustrante ver que colocaram veneno em as presas e que andam em o sol .,
Ficção,
"A história , narrada por a personagem Bella Swan , fala sobre as angústias , as dificuldades que a jovem teve que enfrentar a o se mudar para uma cidadezinha chuvosa , diferente de a que morava , e a convivência com o pai , que mal conhecia .",
"Junto , veio a descoberta de o primeiro amor e mais dificuldades a enfrentar , pois se apaixona por um vampiro , colocando sua vida em risco .",
"É uma mistura de o real com o sobrenatural , mas o que mais me impressionou é o fato de ser uma história de amadurecimento de a personagem e sua coragem para viver a sua história de amor .","uma
história
de
amadurecimento
de
a
personagem
e
sua
coragem
para
viver
a
sua
história
de
amor"
"tudo começa com uma adolescente comum , com seus problemas familiares seus pais separados , sua mãe com outro homem e seu pai vivendo sozinho e alem de isso os problemas sociais .",
"Se mudou para cidade de seu pai , escola nova , amigos novos .",
"Ela se apaixona por um garoto de sua turma chamado Edward Cullen , ela vai pagar um alto preço por essa paixão .",
"Quando ela descobre que ele é vampiro , já não consegue ficar distante de seu amor .. esse livro é uma reflexão sobre a morte , sua própria ... Edward , o diferente , o estranho porem belo e irresistível , ele desperta em Bella seus medos e desejos mais profundos .",
"A autora cria uma trama epleta de segredos , paíxões e elementos fantásticos , gerando assim uma obra sensual e atraente .","trama
obra"
Simplesmente Amei o livro muito bom !,livro
2.0,
"Definitivamente Triangulo amoroso mais "" sem amor "" que ja vi em a vida ... Isabella Swan coloca - se abaixo de o subsolo a cada pagina exaltando seu peefeito ( Até Parece !",
) Edward Cullen em o alto de um pedestal .... Não diria que é perda de tempo ... MAs se você tiver a opção de ler coisa melhor ... O FAÇA !,
¬¬ ',
Agradavel .,
http://httpmeumundodiferenteblogspotcom.blogspot.com/2012/01/crepusculonao-e-tao-ruim.html,
Desilusão,
"A primeira vez que li Crepúsculo era nova , três anos mais nova de o que sou hoje , e acho que nem seria surpresa dizer o quando fiquei obcecada por esse romance entre Bella e Edward , tão obcecada a ponto de me trancar em o quarto uma tarde inteira sem comer nem beber até terminar todo o livro , de a primeira página á ultima .",
"Pois bem , com o tempo passando e eu crescendo , existiu um ponto em minha vida , ( entre o terceiro e o quarto livro ) , em que comecei a ter raiva de as personagens e tudo piorou quando li Entrevista com o Vampiro de Anne Rice , seguido de o filme tão bom quanto , enfim , a gota d'água foi quando Bella engravidou de Edward e bla bla bla , a partir de esse momento , não sei se foi a idade que pesou em as costas ou o desencanto com palavras bonitas e adjetivos demais que me fizeram ser indiferente a esse livro , ás vezes penso o quanto a história seria melhor se Edward fosse um vampiro de verdade , um assassino , e como Meyer iria desenvolver uma Bella dividida entre esse amor monstruoso , claro que seria uma Bella com por o menos um pingo de personalidade a o meu ver .",
"Acho que o melhor modo de me expressar seria pegando emprestado uma frase que uma amiga minha , que sofreu de esse mesmo desencanto , usou uma vez , "" em o início quando ele falava alguma coisa bonita eu ficava QUE LINDO , AWNNN , hoje quando vejo as coisas que ele fala penso credo , por que ele falou isso ? """,
"Enfim , Crepúsculo foi uma fase de minha vida que não esquecerei , assim como não faço muita questão de lembrar .",
"Lembrem - se sempre que vampiros não brilham em a luz de o sol , eles queimam , e se eu achasse que alguém iria ler isso e teria que sofrer com diversas fãs de a saga me xingando , eu estaria preocupada , mas como não acho , tchau !",
As fãs que me perdoem,
"Quando começo a ler um livro , tenho de levar a leitura até o fim , afinal , pode ser que por o menos o desfecho valha a pena .",
"Quando começo a ler uma série , sou incapaz de abandoná - la até ler o último volume .",
Muita coisa pode mudar entre três e sete volumes ... Conheci Crepúsculo antes de a moda .,
"A capa é linda , sugestiva , e a sinopse prometia .",capa
Claro que o li .,
O que achei ?,
"Bem ... Raciocinem com mim : Se você é imortal , excepcionalmente lindo(a) e rico(a) pra caramba , o que faria ?",
"A) Curtir a eternidade de a melhor maneira possível , transar adoidado com quem der em a telha e abusar de os poderes e de o dinheiro .",
"B) Cobiçar todo o conhecimento de a humanidade , querer aprender sempre mais , e ser um mestre em todos os assuntos .",
"C) Fazer o ensino médio repetidas vezes , morar em uma cidadezinha pequena e esperar para perder a virgindade com a pessoa certa ( você é imortal , tem tempo de sobra ) .",
Quem respondeu C. Edward Cullen !,
Como um deus grego desejado por multidões de mulheres pode passar pouco mais de 180 anos ( mais ou menos ) sem perder a virgindade ?,
"Antes que me chamem de pervertida , vamos analisar mais um fato : ele decide - se a o encontrar uma garota sem-graça , desengonçada e não-é-lá-essas-coisas .",
Sim Pirilim !,
"E ele se torna completamente obcecado por ela a ponto de ser super-protetor , tentar o suicídio por achar que estava morta , e o pior : Passar a noite olhando pro rosto de ela enquanto dorme .",
DO-EN-TI-O !,
"Mas aí aparece um lobo musculosão e quente e se apaixona por ela e em o terceiro livro , o doente super-protetor deixa que ele deite de conchinha abraçando - a por trás e com pensamentos sacanas em a mente .",
"O Vampirão lê mentes , sabe que ele está querendo colocar o lobinho em a toca de a Bella , mas o que ele faz ?",
Diz : _ Poderia por o menos pensar mais baixo ?,
( ou algo assim ) Ora !,
Mas não foi apenas o romance de os dois que me incomodou .,
Falo aqui de a série inteira !,
Os vampiros se alimentam de sangue animal para não terem de atacar humanos .,
"Compreensível , até .",
Mas brilham em o sol .,
E não se expõem em uma praia porque poria em risco o segredo de os vampiros .,
Diga - me : Você está andando em a rua e vê um cara brilhando em o sol como se fosse coberto por um monte de diamantes .,
O que você faria ?,
"A) Acharia que era algum tipo de fantasia , algum efeito especial para alguma festa ou coisa de o tipo .",
B) Que o cara era uma bixona coberta de purpurina .,
C) Que ele era um vampiro perigosíssimo que pode sugar seu sangue e tirar sua vida .,
Claro !,
"Uma pessoa brilhando em o sol , só pode ser um vampiro de o mal !",
¬¬ ' Sem comentários .,
"Sem contar que a leitura é maçante e em a maior parte , sem graça .",leitura
Quem quer saber de o cotidiano sem graça de a Bella ?,
E lá pro final acontece alguma coisa .,
"Mas você está tão desestimulado , que nem dá importância .",
"Para as fãs , Yurru !",
"Continuem gostando , afinal , cada um tem sua opinião .",
"Para quem não leu , pensem bem em minhas singelas palavras de advertência .",
"Em a dúvida , assista os filmes .",
Por o menos dá pra ver os atores saradões sem camisa .,
Em o livro você tem que imaginar e tal ...,
porque ler esse livro ?,
"O amor para alguns um sentimento horroroso que machuca , para outros um sentimento que te deixa em as nuvens como se você fosse a ultima bolacha de o pacote .",
"Mas agora imagine se você e um vampiro e seu grande amor e aquela que você mais deseja o sangue em o caso uma humana , como ficaria seu coração que antigamente era gelado , frio e sem amor e de uma hora para outra se enche de alegria e uma paixão ardente .",
Mas e se ela descobri - se que você e um assassino um caçador o que ela faria ?,
LIXO,
"Uma merda , passe longe .",
Romance ...,
Eu sou uma fraca por romances ... seja de que jeito for .,
Amo viajar em as páginas e imaginar como as pessoas se apaixonam .,
Principalmente o começo .,
"A paquera , a ansiedade , o medo , as expectativas ... o primeiro beijo .",
"E pra mim independe se é vampiro , se é humano , se é bandido ou se é mocinho , se é rico ou se é pobre ... o amor é que me prende em a leitura .",
"Então por mais que seja uma leitura simples , boba ... eu me apaixonei por essa história e já li mais de 5 vezes esse livro .",história
"Gosto de o diálogo de os personagens principais , gosto de sentir o que eles sentem , me colocar em o lugar de eles ... fabuloso !","diálogo
de
os
personagens
principais"
"É um livro rápido , de leitura fácil e agradável , faz você lembrar como é bom está apaixonado .","livro
leitura"
Seja a pessoa compatível ou não com você .,
Mas afinal o que é ser compatível ?,
Beijos,
Crepúsculo,
"O livro conta a estória de Bela , uma menina filha de pais separados , que resolve morar com o pai em uma cidadezinha em o interior de os EUA onde chove muitos meses por ano .",
"Lá ela conhece Edward , um menino encantador e estranho a o mesmo tempo .",
"Com o tempo , eles se aproximam e segredos são descobertos .",
"A série que virou febre em os cinemas é legal até certo ponto pois a a medida que os livros foram lançados eu fui lendo mais por a curiosidade de o que ia acontecer , de o que por os acontecimentos de fato .",
Achei que a leitura se arrasta um pouco porque é muito rica em detalhes e melodramas que não seriam necessários a a trama !,leitura
Crepúsculo poderia ser como qualquer outra história se não fosse um elemento irresistível : o objeto de a paixão de a protagonista é um vampiro .,
"Assim , soma - se a a paixão um perigo sobrenatural temperado com muito suspense , e o resultado é uma leitura de tirar o fôlego - um romance repleto de as angústias e incertezas de a juventude - o arrebatamento , a atração , a ansiedade que antecede cada palavra , cada gesto , e todos os medos , Isabella Swanchega a a nublada e chuvosa cidadezinha de Forks - último lugar onde gostaria de viver .",
"Tenta se adaptar a a vida provinciana em a qual aparentemente todos se conhecem , lidar com sua constrangedora falta de coordenação motora e se habituar a morar com um pai com quem nunca conviveu .",
Em seu destino está Edward Cullen .,
"Ele é lindo , perfeito , misterioso e , a a primeira vista , hostil a a presença de Bella o que provoca em ela uma inquietação desconcertante .",
Ela se apaixona .,
"Ele em o melhor estilo "" amor proibido "" , alerta : Sou um risco para você .",
Ela é uma garota incomum .,
Ele é um vampiro .,
Ela precisa aprender a controlar seu corpo quando ele a toca .,
"Ele , a controlar sua sede por o sangue de ela .",
"Em meio a descobertas e sobressaltos , Edward é , sim , perigoso : um perigo que qualquer mulher escolheria correr .",
"Em esse universo fantasioso , os personagens construídos por Stephenie Meyer - humanos ou não - se mostram de tal forma familiares em seus dilemas e seu comportamento que o sobrenatural parece real .",
Meyer torna perfeitamente plausível - e irresistível - a paixão de uma garota de 17 anos por um vampiro encantador .,
Sabe aquele livro que você lê somente para saber a história ?,
"crepusculo mais de o que foi esse livro ele me introduziu A as grandes leituras como Jane Austen , que é provavelmente a minha autora favorita hoje .",
"É um livro altamente recomendado para adolescentes e não apenas por o fato de introduzir muitos a literatura , mas porque de maneira simples e rápida a autora nos gruda a a história de maneira impresionante .",livro
"De um modo sem muita dificuldade mostra a muitos adolescentes como a literatura é necessária , principalmente em os dias de hoje .",
"Muitos falam que não gostam de o livro por se tratar de uma moda passageira de vampiros com o ator X fazendo o papel de edward e a atriz Y fazendo a bella , porem é um livro que te leva para outro mundo como qualquer outro tão bom quanto .",livro
"É quase impossível não gostar de a saga , principalmente se você não viu os filmes que são meramente comerciais .",
Opnião hoje mudada,
"Quando foi lançado o filme , nunca dei bola para ver , e piorou de procurar por o livro , até porque nunca fui de gostar de histórias de vampiros .",
"Mas ouvi falar bem e acabei assistindo e procurei ler a história ... Bem , hoje de opnião alterada quanto a história de Meyer , digo que , após começar a assistir ' The Vampire Diaries ' vi como a personagem Bella é fraquinha ... Não tem uma personalidade , digamos assim , definida ... A autora quer fazer ela parecer "" forte e independente "" mas a o mesmo tempo ela se confunde fazendo a personagem parecer bobinha , sem atitudes maduras e muitas vezes sem iniciativas concretas ... Bem a o contrario de a personagem de o seriado ( não de os livros ) Elena Gilbert , que sempre mostrou o que quis , opniões proprias , e personalidade única ... É muito bonito sim a força de Edward para tentar ama-lá a o inves de mata-lá ... Mas , bem surreal mesmo ... E vc até pode conseguir se interter em a história , pois os outros personagens conseguem te levar a isso .","história
personagem
Bella
história"
"Os lobos , achei super bacana , a familia de o Edward , enfim , tem sim bons personagens , mas concerteza a Bella não é a melhor de elas ...","lobos
personagens
Bella"
Resenha de o livro Crepúsculo,
O livro Crepúsculo de Stephenie Meyer fala de a história de amor entre Isabella Swan que é uma humana e de Edward Cullen que é um vampiro .,
Os dois se conheceram em a cidade de Forks que fica em o estado de Washington .,
O livro é muito bom pois fala de uma historia de amor quase impossível pois bella é uma humana e Edward é um vampiro .,livro
Eu aprendi com a leitura de esse livro que o amor é possível mesmo com as diferenças .,
"Embora muita gente fale mal de a saga crepúsculo , quem leu amou , e quem ainda não leu ( e gosta de ler ) tem curiosidade .",
Eu como boa admiradora de romances achei o livro ótimo .,livro
É um de aqueles que você não quer largar nem pra dormir .,
Bella Swan conhece Edward Cullen em seu primeiro dia de aula e se encanta por ele .,
Mas havia um mistério que envolvia Edward e sua família .,
E é esse mistério que aproxima os dois .,
Minha Opinião,
http://intelectodigital.wordpress.com/2010/08/10/crepusculo-stephenie-meyer/,
"Pra quem adora ficção e ' ouvir ' falar sobre amor verdadeiro , Crepúsculo é um prato cheio e com várias repetições .",
"Muitas pessoas criticam o livro , por dizer que um vampiro não tem sentimentos e que nunca iria se apaixonar tão intensamente por uma jovem que a príncipio não tinha muitas qualidades e muito menos atrativos .",
"Mas pra Stephenie Meyer ( autora de o livro ) tudo isso foi possível em seus livros , cheios de romantismo misturados com ação e um pouquinho de aventura .",
"O que realmente eu sei , é que quando comecei a ler eu não queria parar , fiquei apaixonada por a história de a sem sal Bella Swan e de o bonitão e enigmático Edward Cullen .","história
de
a
sem
sal
Bella
Swan
e
de
o
bonitão
e
enigmático
Edward
Cullen"
"Mas pra quem fala que tudo isso não passa de uma besteirinha pras meninas se iludirem , são um pouco ingnorantes , porque isso é um livro , ficção pura , ninguém falou se era possível acontecer ou não .",
"Leem e se deliciem com essa história e com os outros de a saga , recomendo .",história
"Abandonei o livro crepúsculo por que eu gosto é de realidade , algumas coisas me fascinam outros já nem tanto e em o caso de este livro não me chamou atenção nenhuma há não ser por o nome , todos que conheceço ja leram , ja assistiram filme , e são apaixonados por crepúsculo eclipser enfim .","o
livro
crepúsculo
livro"
"Mais uma coisa que não me dá prazer nenhum é histórinhas de vampiros , que são gente , que amam enfim é como se meu cachorro falasse com mim e viesse a passar ser meu namorado , nada contra mais também nada a favor .","histórinhas
de
vampiros"
"Crepusculo é um livro legal , pra se ler sem compromisso e uma unica vez , é uma história que podia ter acabado ai , porque a cada continuação a história foi ficando pior , é meio inexplicavel porque a série é um fenomeno , mas é até interessante , leia sem pretensões","Crepusculo
livro"
apaixonante,
Acho que nunca li um livro que fosse tão a minha cara .,livro
Livro que fala de romance e ação .,
Amei mesmo,
Atenção presa de forma surpreendente,
Não é apenas mais uma história sobre vampiros : a narrativa segue de maneira bastante dinâmica e os personagens são muito bem caracterizados .,"história
narrativa
personagens"
"A história te prende muito a atenção , e cada vez mais você se sente atraído a conhecer mais sobre os personagens , e isso faz com que a leitura flua de maneira muito rápida e de forma interessante .","história
leitura"
"Uma coisa é interessante em esta história é a capacidade de a autora de esmiuçar em cada página o romance de Bella e seu vampiro sem permitir que o leitor se aborreça , a o contrário , vai inevitavelmente ficar esperando cada vez mais outro diálogo de os dois , até que o livro acaba e fica - se em a expectativa de ver logo a continuação de a série .",história
Recomendo .,
Não mereceu o sucesso que fez,
É bom o suficiente para se ler em um dia de domingo chuvoso .,
Em o entanto não merece nem 10 % de o sucesso que fez .,
O livro resume - se a a historia de uma adolescente que se apaixona por um vampiro e vive complicações por causa de isso .,
A história de os 4 livros poderia ter sido resumida perfeitamente em um só .,história
Um livro e muitas emoções,
"A americana Stephenie Meyer se emocionou a o escrever uma história vivida em uma pequena cidade em o noroeste de o estado de Washington , Forks .",
"O livro de estréia de a série crepúsculo , já é um best-seller mundial com milhares de fãs .",
"O livro é de a editora Intrínseca , tradução de Ryta Vinagre , revisão de Ana grillo , Isabel Newlands e Maria da Glória Carvalho , capa de Gail Doobinin .",
"O que ela menos queria , aconteceu .",
"Isabella Swan se muda para a pequena e chuvosa cidade de forks , o ultimo lugar a onde gostaria de viver .",
"Quando ela chega em a escola , todos querem fazer amizade por ela ser a garota nova , ela , uma menina muito tímida não gosta muito de a idéia , mas fica intrigada quando a perfeita família Cullen a ignora totalmente .",
"Isabella começa a se aproximar de Edward , o mais novo de os Cullens a partir de a aula de biologia .",
"Ela percebe que o lindo Edward é diferente , não só por sua beleza , mas sim por algum mistério .",
"Com o passar de o tempo , fatos estranhos acontecem e eles cada vez mais apaixonados um por o outro .",
"Isabella descobre a verdadeira identidade de Edward , e ele mostra as verdadeiras vantagens de ser um vampiro vegetariano .",
"Tudo corria bem , até que vampiros nômades aparecem e decidem que Isabella seria o jantar principal .",
"Agora Edward faz tudo para protegê - la , mas tudo dá errado e os outros vampiros conseguem morde - la .",
"Isabella está entre a vida e a morte , mas Edward chega a tempo e chupa o veneno de a mordida e tudo fica bem .",
"O primeiro livro de a saga crepúsculo é fantástico , pois a autora consegue misturar suspense , romance e ação em único livro .","livro
autora"
Não pode ser considerado livro,livro
"Um amigo meu me emprestou Twilight e , como eu devia devolvê - lo em apenas alguns dias , acabei devorando o livro em três ou quatro dias .",
"De início , eu gostei , até engolir todo o açúcar e perceber que os personagens eram incrivelmente ruins .",personagens
A história em si é a a base de mais um clichê de a humanidade : vampiro bom se apaixona por garota que tem algum poder especial ou que é simplesmente intrometida .,história
"A SMeyer podia ter mudado isso , mas não o fez , humilhando mais ainda a lenda vampiresca com a idéia de que vampiros brilham a o sol .",
"Em o passado , acho que a queimariam como sendo uma herege .",
