reviews,explicit aspects,fold
Um de os primeiros !,,1
Quando criança sempre via este livro em minha estante e era atraída por as cores vibrantes de sua capa já gasta por o tempo .,,1
"Ainda sem saber ler , revirava as folhas em busca de alguma figura .",,1
"Com o passar de o tempo e a intimidade com as letras , acabei começando a leitura de este livro ainda muito criança e mesmo sem entender muita coisa me divertia fazendo uso de esta obra que sabe Deus a quem pertencia .",,1
"Após vários anos decidi ler pra valer , com consciência de o conteúdo e claro , adorei .",,1
"Além de ser um clássico de a literatura , acabou tornando - se um clássico de minha história .",,1
"Nossa , meu pai falava muito de este livro como um de os melhores q ja havia lido .",,1
Amei .,,1
Simplesmente amei .,,1
Eu li capitães de a areia quando eu estava em o 1° ano de o colegial .. e foi o 1° que eu Li do Querido Jorge Amado !,,1
"O Livro tocou profundamentemeu coração , nunca vou esquecer de Pedro Bala o lider de os meninos , o Querido João Grande tinha um coração de o tamanho de ele , e a Meiga Dora a "" mãe "" de todos .. eu sou Apaixonada por esse livro , E foi esse livro q me motivou a continuar a lendo ... E esse Livro sempre estara em a minha mente e coração !","Livro
Pedro
Bala
livro
Livro",1
Recomendadissiiimoooo para leitura !,,1
5 estrelinhas merecidas !,,1
"Eu amei esse livro , não conseguia parar de ler *__* Vc se envolve de uma maneira com os pias de o Capitães de a Areia , cada um tem sua história em especial que cativa mesmo o leitor .","livro
os
pias
de
o
Capitães
de
a
Areia",1
"O Pedro Bala que é o líder de os Capitães tem um jeito bem nobre de cuidar de os seus companheiros , sempre exigindo respeito e lealdade para estabelecer a harmonia de o grupo .",,1
"Porém , fiquei chocada com o Pedro Bala , quando ele molestou aquela neguinha em o areal , mesmo sabendo que ela era "" donzela "" , acabou que o estupro não tirou a sua virgindade , em o entanto , não deixa de ser um estupro .",,1
"[ ñ vou contar detalhadamente , quem quer saber melhor leia =P ] Jorge Amado mandou muito bem retratando a vida de a gurizada que vive a margem de a sociedade , não expondo que as crianças são uns anjos , mas tb elas não são más .",,1
Conseguiu manter o meio termo .,,1
"Ora , ninguém é perfeito neh ... Agora , uns de os pontos discutidos em o livro é : A sociedade tem culpa por a vida levada por tantos "" Capitães de a Areia "" ?",,1
"Em a minha opinião , tem culpa em partes e , não totalmente .",,1
"Porque acredito que cada um faz a sua vida , alguns conseguem por si mesmos e já outros - a maioria - precisa de uma ajuda .",,1
"Bom , o meio em que aquelas crianças foram crescendo de fato pode propiciar para o lado negro de a força , sendo :ladrão , "" malandro "" , gigolô , traficante de drogas , etc. Contudo , em o livro vemos que apesar de o meio , as crianças tem suas personalidades , por exemplo , o "" professor "" como era conhecido uns de os pias de o grupo o qual gostava de ler e de desenhar , nunca fora educada para tal .",,1
"Mas , ele experimentou o estudo e felizmente acabou por namorar essas duas artes :literatura e desenho .",,1
"Por consequência , tornou - se um pintor de prestígio :D Já outros não tiveram a felicidade de trilhar o mesmo caminho , terminar-se-iam como fantoches de as mazelas de a vida comteporânea que traz somente a felicidade momentânea e vazia .",,1
"Logo , o nicho em que as crianças crescem marca de certa forma o seu modo de ver o mundo , mas não é fator que determinará o que elas serão .",,1
"Porém se a sociedade não der atenção para essas crianças ( aí que entra a ajuda ) , acabaram com os seus sonhos , através de isso , elas não poderão ter infância e sem essa fase não terão base para tornar - se adultos conscientes .",,1
"Perdendo - se , mais uma vez , para os vícios de a vida , e fechando - se em seu próprio mundo idealista .",,1
Ótimo,,1
Adorei o livro .,livro,1
É o tipo de livro que te prende de o início a o fim .,livro,1
Engoli o livro rs ... Se pudesse madrugava lendo .,livro,1
Esse livro estou trocando .,,1
Sempre Jorge Amado !,,1
"Não tem como esperar muita coisa de este escritor , a leitura é fácil e durante todo o livro o Jorge Amado descreve a Bahia como o melhor lugar em o mundo !",,1
O romance entre dois adolescentes faz o rumo de a história ferver .... hehehe ... O escritor consegue fazer com que as morenas brasileiras sejam totalmente charmosas e sexy !,,1
"Muito bom o livro ... eu li já tem algum tempo , foi o primeiro livro de o Jorge que eu li e me apaixonei por o jeito bem natural de ele de escrever ... depois de isso li vários outros livros todos seguindo a mesma linha !",livro,1
Recomendo !,,1
Bonzinho ...,,1
A série ' Crepúsculo ' não chega a ser uma de as minhas favoritas ... Mas fiz uma resenha sobre a série completa para os que estiverem interessados : http://ivasbookshelf.blogspot.com.br/2012/03/saga-crepusculo.html,,1
pessimo,,1
"odiei o inicio diferente de o filme a bella não se enxerga , ela bota defeito em os outros quando ela é q é a defeituosa Nota :parei em a pag .","inicio
bella",1
116,,1
Complicado,,1
Stephenie Meyer é muito inteligente e escreve realmente bem .,,1
"Sua narrativa é muito interessante , seu linguajar é ótimo e a estrutura de o livro é muito bem resolvida .","narrativa
linguajar
estrutura
de
o
livro",1
"Os personagens , contudo , são criados para agradar a todos os tipos de pessoa , mas atingem em potencial o público feminino .",,1
O mito vampírico foi modificado e moldado a a novas circunstâncias de forma brutal e pode ser frustrante ver que colocaram veneno em as presas e que andam em o sol .,,1
Ficção,,1
"A história , narrada por a personagem Bella Swan , fala sobre as angústias , as dificuldades que a jovem teve que enfrentar a o se mudar para uma cidadezinha chuvosa , diferente de a que morava , e a convivência com o pai , que mal conhecia .",,1
"Junto , veio a descoberta de o primeiro amor e mais dificuldades a enfrentar , pois se apaixona por um vampiro , colocando sua vida em risco .",,1
"É uma mistura de o real com o sobrenatural , mas o que mais me impressionou é o fato de ser uma história de amadurecimento de a personagem e sua coragem para viver a sua história de amor .","uma
história
de
amadurecimento
de
a
personagem
e
sua
coragem
para
viver
a
sua
história
de
amor",1
"tudo começa com uma adolescente comum , com seus problemas familiares seus pais separados , sua mãe com outro homem e seu pai vivendo sozinho e alem de isso os problemas sociais .",,1
"Se mudou para cidade de seu pai , escola nova , amigos novos .",,1
"Ela se apaixona por um garoto de sua turma chamado Edward Cullen , ela vai pagar um alto preço por essa paixão .",,1
"Quando ela descobre que ele é vampiro , já não consegue ficar distante de seu amor .. esse livro é uma reflexão sobre a morte , sua própria ... Edward , o diferente , o estranho porem belo e irresistível , ele desperta em Bella seus medos e desejos mais profundos .",,1
"A autora cria uma trama epleta de segredos , paíxões e elementos fantásticos , gerando assim uma obra sensual e atraente .","trama
obra",1
Simplesmente Amei o livro muito bom !,livro,1
2.0,,1
"Definitivamente Triangulo amoroso mais "" sem amor "" que ja vi em a vida ... Isabella Swan coloca - se abaixo de o subsolo a cada pagina exaltando seu peefeito ( Até Parece !",,1
) Edward Cullen em o alto de um pedestal .... Não diria que é perda de tempo ... MAs se você tiver a opção de ler coisa melhor ... O FAÇA !,,1
¬¬ ',,1
Agradavel .,,1
http://httpmeumundodiferenteblogspotcom.blogspot.com/2012/01/crepusculonao-e-tao-ruim.html,,1
Desilusão,,1
"A primeira vez que li Crepúsculo era nova , três anos mais nova de o que sou hoje , e acho que nem seria surpresa dizer o quando fiquei obcecada por esse romance entre Bella e Edward , tão obcecada a ponto de me trancar em o quarto uma tarde inteira sem comer nem beber até terminar todo o livro , de a primeira página á ultima .",,1
"Pois bem , com o tempo passando e eu crescendo , existiu um ponto em minha vida , ( entre o terceiro e o quarto livro ) , em que comecei a ter raiva de as personagens e tudo piorou quando li Entrevista com o Vampiro de Anne Rice , seguido de o filme tão bom quanto , enfim , a gota d'água foi quando Bella engravidou de Edward e bla bla bla , a partir de esse momento , não sei se foi a idade que pesou em as costas ou o desencanto com palavras bonitas e adjetivos demais que me fizeram ser indiferente a esse livro , ás vezes penso o quanto a história seria melhor se Edward fosse um vampiro de verdade , um assassino , e como Meyer iria desenvolver uma Bella dividida entre esse amor monstruoso , claro que seria uma Bella com por o menos um pingo de personalidade a o meu ver .",,1
"Acho que o melhor modo de me expressar seria pegando emprestado uma frase que uma amiga minha , que sofreu de esse mesmo desencanto , usou uma vez , "" em o início quando ele falava alguma coisa bonita eu ficava QUE LINDO , AWNNN , hoje quando vejo as coisas que ele fala penso credo , por que ele falou isso ? """,,1
"Enfim , Crepúsculo foi uma fase de minha vida que não esquecerei , assim como não faço muita questão de lembrar .",,1
"Lembrem - se sempre que vampiros não brilham em a luz de o sol , eles queimam , e se eu achasse que alguém iria ler isso e teria que sofrer com diversas fãs de a saga me xingando , eu estaria preocupada , mas como não acho , tchau !",,1
As fãs que me perdoem,,1
"Quando começo a ler um livro , tenho de levar a leitura até o fim , afinal , pode ser que por o menos o desfecho valha a pena .",,1
"Quando começo a ler uma série , sou incapaz de abandoná - la até ler o último volume .",,1
Muita coisa pode mudar entre três e sete volumes ... Conheci Crepúsculo antes de a moda .,,1
"A capa é linda , sugestiva , e a sinopse prometia .",capa,1
Claro que o li .,,1
O que achei ?,,1
"Bem ... Raciocinem com mim : Se você é imortal , excepcionalmente lindo(a) e rico(a) pra caramba , o que faria ?",,1
"A) Curtir a eternidade de a melhor maneira possível , transar adoidado com quem der em a telha e abusar de os poderes e de o dinheiro .",,1
"B) Cobiçar todo o conhecimento de a humanidade , querer aprender sempre mais , e ser um mestre em todos os assuntos .",,1
"C) Fazer o ensino médio repetidas vezes , morar em uma cidadezinha pequena e esperar para perder a virgindade com a pessoa certa ( você é imortal , tem tempo de sobra ) .",,1
Quem respondeu C. Edward Cullen !,,1
Como um deus grego desejado por multidões de mulheres pode passar pouco mais de 180 anos ( mais ou menos ) sem perder a virgindade ?,,1
"Antes que me chamem de pervertida , vamos analisar mais um fato : ele decide - se a o encontrar uma garota sem-graça , desengonçada e não-é-lá-essas-coisas .",,1
Sim Pirilim !,,1
"E ele se torna completamente obcecado por ela a ponto de ser super-protetor , tentar o suicídio por achar que estava morta , e o pior : Passar a noite olhando pro rosto de ela enquanto dorme .",,1
DO-EN-TI-O !,,1
"Mas aí aparece um lobo musculosão e quente e se apaixona por ela e em o terceiro livro , o doente super-protetor deixa que ele deite de conchinha abraçando - a por trás e com pensamentos sacanas em a mente .",,1
"O Vampirão lê mentes , sabe que ele está querendo colocar o lobinho em a toca de a Bella , mas o que ele faz ?",,1
Diz : _ Poderia por o menos pensar mais baixo ?,,1
( ou algo assim ) Ora !,,1
Mas não foi apenas o romance de os dois que me incomodou .,,1
Falo aqui de a série inteira !,,1
Os vampiros se alimentam de sangue animal para não terem de atacar humanos .,,1
"Compreensível , até .",,1
Mas brilham em o sol .,,1
E não se expõem em uma praia porque poria em risco o segredo de os vampiros .,,1
Diga - me : Você está andando em a rua e vê um cara brilhando em o sol como se fosse coberto por um monte de diamantes .,,1
O que você faria ?,,1
"A) Acharia que era algum tipo de fantasia , algum efeito especial para alguma festa ou coisa de o tipo .",,1
B) Que o cara era uma bixona coberta de purpurina .,,1
C) Que ele era um vampiro perigosíssimo que pode sugar seu sangue e tirar sua vida .,,1
Claro !,,1
"Uma pessoa brilhando em o sol , só pode ser um vampiro de o mal !",,1
¬¬ ' Sem comentários .,,1
"Sem contar que a leitura é maçante e em a maior parte , sem graça .",leitura,1
Quem quer saber de o cotidiano sem graça de a Bella ?,,1
E lá pro final acontece alguma coisa .,,1
"Mas você está tão desestimulado , que nem dá importância .",,1
"Para as fãs , Yurru !",,1
"Continuem gostando , afinal , cada um tem sua opinião .",,1
"Para quem não leu , pensem bem em minhas singelas palavras de advertência .",,1
"Em a dúvida , assista os filmes .",,1
Por o menos dá pra ver os atores saradões sem camisa .,,1
Em o livro você tem que imaginar e tal ...,,1
porque ler esse livro ?,,1
"O amor para alguns um sentimento horroroso que machuca , para outros um sentimento que te deixa em as nuvens como se você fosse a ultima bolacha de o pacote .",,1
"Mas agora imagine se você e um vampiro e seu grande amor e aquela que você mais deseja o sangue em o caso uma humana , como ficaria seu coração que antigamente era gelado , frio e sem amor e de uma hora para outra se enche de alegria e uma paixão ardente .",,1
Mas e se ela descobri - se que você e um assassino um caçador o que ela faria ?,,1
LIXO,,1
"Uma merda , passe longe .",,1
Romance ...,,1
Eu sou uma fraca por romances ... seja de que jeito for .,,1
Amo viajar em as páginas e imaginar como as pessoas se apaixonam .,,1
Principalmente o começo .,,1
"A paquera , a ansiedade , o medo , as expectativas ... o primeiro beijo .",,1
"E pra mim independe se é vampiro , se é humano , se é bandido ou se é mocinho , se é rico ou se é pobre ... o amor é que me prende em a leitura .",,1
"Então por mais que seja uma leitura simples , boba ... eu me apaixonei por essa história e já li mais de 5 vezes esse livro .",história,1
"Gosto de o diálogo de os personagens principais , gosto de sentir o que eles sentem , me colocar em o lugar de eles ... fabuloso !","diálogo
de
os
personagens
principais",1
"É um livro rápido , de leitura fácil e agradável , faz você lembrar como é bom está apaixonado .","livro
leitura",1
Seja a pessoa compatível ou não com você .,,1
Mas afinal o que é ser compatível ?,,1
Beijos,,1
Crepúsculo,,1
"O livro conta a estória de Bela , uma menina filha de pais separados , que resolve morar com o pai em uma cidadezinha em o interior de os EUA onde chove muitos meses por ano .",,1
"Lá ela conhece Edward , um menino encantador e estranho a o mesmo tempo .",,1
"Com o tempo , eles se aproximam e segredos são descobertos .",,1
"A série que virou febre em os cinemas é legal até certo ponto pois a a medida que os livros foram lançados eu fui lendo mais por a curiosidade de o que ia acontecer , de o que por os acontecimentos de fato .",,1
Achei que a leitura se arrasta um pouco porque é muito rica em detalhes e melodramas que não seriam necessários a a trama !,leitura,1
Crepúsculo poderia ser como qualquer outra história se não fosse um elemento irresistível : o objeto de a paixão de a protagonista é um vampiro .,,1
"Assim , soma - se a a paixão um perigo sobrenatural temperado com muito suspense , e o resultado é uma leitura de tirar o fôlego - um romance repleto de as angústias e incertezas de a juventude - o arrebatamento , a atração , a ansiedade que antecede cada palavra , cada gesto , e todos os medos , Isabella Swanchega a a nublada e chuvosa cidadezinha de Forks - último lugar onde gostaria de viver .",,1
"Tenta se adaptar a a vida provinciana em a qual aparentemente todos se conhecem , lidar com sua constrangedora falta de coordenação motora e se habituar a morar com um pai com quem nunca conviveu .",,1
Em seu destino está Edward Cullen .,,1
"Ele é lindo , perfeito , misterioso e , a a primeira vista , hostil a a presença de Bella o que provoca em ela uma inquietação desconcertante .",,1
Ela se apaixona .,,1
"Ele em o melhor estilo "" amor proibido "" , alerta : Sou um risco para você .",,1
Ela é uma garota incomum .,,1
Ele é um vampiro .,,1
Ela precisa aprender a controlar seu corpo quando ele a toca .,,1
"Ele , a controlar sua sede por o sangue de ela .",,1
"Em meio a descobertas e sobressaltos , Edward é , sim , perigoso : um perigo que qualquer mulher escolheria correr .",,1
"Em esse universo fantasioso , os personagens construídos por Stephenie Meyer - humanos ou não - se mostram de tal forma familiares em seus dilemas e seu comportamento que o sobrenatural parece real .",,1
Meyer torna perfeitamente plausível - e irresistível - a paixão de uma garota de 17 anos por um vampiro encantador .,,1
Sabe aquele livro que você lê somente para saber a história ?,,1
"crepusculo mais de o que foi esse livro ele me introduziu A as grandes leituras como Jane Austen , que é provavelmente a minha autora favorita hoje .",,1
"É um livro altamente recomendado para adolescentes e não apenas por o fato de introduzir muitos a literatura , mas porque de maneira simples e rápida a autora nos gruda a a história de maneira impresionante .",livro,1
"De um modo sem muita dificuldade mostra a muitos adolescentes como a literatura é necessária , principalmente em os dias de hoje .",,1
"Muitos falam que não gostam de o livro por se tratar de uma moda passageira de vampiros com o ator X fazendo o papel de edward e a atriz Y fazendo a bella , porem é um livro que te leva para outro mundo como qualquer outro tão bom quanto .",livro,1
"É quase impossível não gostar de a saga , principalmente se você não viu os filmes que são meramente comerciais .",,1
Opnião hoje mudada,,1
"Quando foi lançado o filme , nunca dei bola para ver , e piorou de procurar por o livro , até porque nunca fui de gostar de histórias de vampiros .",,1
"Mas ouvi falar bem e acabei assistindo e procurei ler a história ... Bem , hoje de opnião alterada quanto a história de Meyer , digo que , após começar a assistir ' The Vampire Diaries ' vi como a personagem Bella é fraquinha ... Não tem uma personalidade , digamos assim , definida ... A autora quer fazer ela parecer "" forte e independente "" mas a o mesmo tempo ela se confunde fazendo a personagem parecer bobinha , sem atitudes maduras e muitas vezes sem iniciativas concretas ... Bem a o contrario de a personagem de o seriado ( não de os livros ) Elena Gilbert , que sempre mostrou o que quis , opniões proprias , e personalidade única ... É muito bonito sim a força de Edward para tentar ama-lá a o inves de mata-lá ... Mas , bem surreal mesmo ... E vc até pode conseguir se interter em a história , pois os outros personagens conseguem te levar a isso .","história
personagem
Bella
história",1
"Os lobos , achei super bacana , a familia de o Edward , enfim , tem sim bons personagens , mas concerteza a Bella não é a melhor de elas ...","lobos
personagens
Bella",1
Resenha de o livro Crepúsculo,,1
O livro Crepúsculo de Stephenie Meyer fala de a história de amor entre Isabella Swan que é uma humana e de Edward Cullen que é um vampiro .,,1
Os dois se conheceram em a cidade de Forks que fica em o estado de Washington .,,1
O livro é muito bom pois fala de uma historia de amor quase impossível pois bella é uma humana e Edward é um vampiro .,livro,1
Eu aprendi com a leitura de esse livro que o amor é possível mesmo com as diferenças .,,1
"Embora muita gente fale mal de a saga crepúsculo , quem leu amou , e quem ainda não leu ( e gosta de ler ) tem curiosidade .",,1
Eu como boa admiradora de romances achei o livro ótimo .,livro,1
É um de aqueles que você não quer largar nem pra dormir .,,1
Bella Swan conhece Edward Cullen em seu primeiro dia de aula e se encanta por ele .,,1
Mas havia um mistério que envolvia Edward e sua família .,,1
E é esse mistério que aproxima os dois .,,1
Minha Opinião,,1
http://intelectodigital.wordpress.com/2010/08/10/crepusculo-stephenie-meyer/,,1
"Pra quem adora ficção e ' ouvir ' falar sobre amor verdadeiro , Crepúsculo é um prato cheio e com várias repetições .",,1
"Muitas pessoas criticam o livro , por dizer que um vampiro não tem sentimentos e que nunca iria se apaixonar tão intensamente por uma jovem que a príncipio não tinha muitas qualidades e muito menos atrativos .",,1
"Mas pra Stephenie Meyer ( autora de o livro ) tudo isso foi possível em seus livros , cheios de romantismo misturados com ação e um pouquinho de aventura .",,1
"O que realmente eu sei , é que quando comecei a ler eu não queria parar , fiquei apaixonada por a história de a sem sal Bella Swan e de o bonitão e enigmático Edward Cullen .","história
de
a
sem
sal
Bella
Swan
e
de
o
bonitão
e
enigmático
Edward
Cullen",1
"Mas pra quem fala que tudo isso não passa de uma besteirinha pras meninas se iludirem , são um pouco ingnorantes , porque isso é um livro , ficção pura , ninguém falou se era possível acontecer ou não .",,1
"Leem e se deliciem com essa história e com os outros de a saga , recomendo .",história,1
"Abandonei o livro crepúsculo por que eu gosto é de realidade , algumas coisas me fascinam outros já nem tanto e em o caso de este livro não me chamou atenção nenhuma há não ser por o nome , todos que conheceço ja leram , ja assistiram filme , e são apaixonados por crepúsculo eclipser enfim .","o
livro
crepúsculo
livro",1
"Mais uma coisa que não me dá prazer nenhum é histórinhas de vampiros , que são gente , que amam enfim é como se meu cachorro falasse com mim e viesse a passar ser meu namorado , nada contra mais também nada a favor .","histórinhas
de
vampiros",1
"Crepusculo é um livro legal , pra se ler sem compromisso e uma unica vez , é uma história que podia ter acabado ai , porque a cada continuação a história foi ficando pior , é meio inexplicavel porque a série é um fenomeno , mas é até interessante , leia sem pretensões","Crepusculo
livro",1
apaixonante,,1
Acho que nunca li um livro que fosse tão a minha cara .,livro,1
Livro que fala de romance e ação .,,1
Amei mesmo,,1
Atenção presa de forma surpreendente,,1
Não é apenas mais uma história sobre vampiros : a narrativa segue de maneira bastante dinâmica e os personagens são muito bem caracterizados .,"história
narrativa
personagens",1
"A história te prende muito a atenção , e cada vez mais você se sente atraído a conhecer mais sobre os personagens , e isso faz com que a leitura flua de maneira muito rápida e de forma interessante .","história
leitura",1
"Uma coisa é interessante em esta história é a capacidade de a autora de esmiuçar em cada página o romance de Bella e seu vampiro sem permitir que o leitor se aborreça , a o contrário , vai inevitavelmente ficar esperando cada vez mais outro diálogo de os dois , até que o livro acaba e fica - se em a expectativa de ver logo a continuação de a série .",história,1
Recomendo .,,1
Não mereceu o sucesso que fez,,1
É bom o suficiente para se ler em um dia de domingo chuvoso .,,1
Em o entanto não merece nem 10 % de o sucesso que fez .,,1
O livro resume - se a a historia de uma adolescente que se apaixona por um vampiro e vive complicações por causa de isso .,,1
A história de os 4 livros poderia ter sido resumida perfeitamente em um só .,história,1
Um livro e muitas emoções,,1
"A americana Stephenie Meyer se emocionou a o escrever uma história vivida em uma pequena cidade em o noroeste de o estado de Washington , Forks .",,1
"O livro de estréia de a série crepúsculo , já é um best-seller mundial com milhares de fãs .",,1
"O livro é de a editora Intrínseca , tradução de Ryta Vinagre , revisão de Ana grillo , Isabel Newlands e Maria da Glória Carvalho , capa de Gail Doobinin .",,1
"O que ela menos queria , aconteceu .",,1
"Isabella Swan se muda para a pequena e chuvosa cidade de forks , o ultimo lugar a onde gostaria de viver .",,1
"Quando ela chega em a escola , todos querem fazer amizade por ela ser a garota nova , ela , uma menina muito tímida não gosta muito de a idéia , mas fica intrigada quando a perfeita família Cullen a ignora totalmente .",,1
"Isabella começa a se aproximar de Edward , o mais novo de os Cullens a partir de a aula de biologia .",,1
"Ela percebe que o lindo Edward é diferente , não só por sua beleza , mas sim por algum mistério .",,1
